processo;num_oficio;email_destino;status;data_envio;hora_envio;registrar_envio;resposta;msg_id;url_oficio;url_processo;url_recebimento;url_baixa;assunto
0000439-97.2026.8.05.0191;074/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;08/05/2026;17:24:53;juntado;;177827189131.8112.15442581222094380066@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5956949;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020260683124;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020260683124&juntadaAr=true&codDocVinculado=5956949;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5956949;2ªVSJ - 074/2026- SEC Referente ao Proc Nº: 0000439-97.2026.8.05.0191
0000506-62.2026.8.05.0191;075/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;08/05/2026;17:26:02;juntado;;177827195946.8112.6046196249315233042@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5959247;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020260782124;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020260782124&juntadaAr=true&codDocVinculado=5959247;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5959247;2ªVSJ - 075/2026- SEC Referente ao Proc Nº: 0000506-62.2026.8.05.0191
0004191-14.2025.8.05.0191;076/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;08/05/2026;17:27:10;juntado;;177827202816.8112.1961085475833195527@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5959272;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020255303118;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020255303118&juntadaAr=true&codDocVinculado=5959272;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5959272;2ªVSJ - 076/2026- SEC Referente ao Proc Nº: 0004191-14.2025.8.05.0191
0002994-24.2025.8.05.0191;077/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;08/05/2026;17:28:19;juntado;;177827209656.8112.10319926604100971638@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5959285;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020253624473;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020253624473&juntadaAr=true&codDocVinculado=5959285;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5959285;2ªVSJ - 077/2026- SEC Referente ao Proc Nº: 0002994-24.2025.8.05.0191
0000155-60.2024.8.05.0191;082/2026- SEC;coordsegcppa@seap.ba.gov.br;Enviado;01/06/2026;13:03:55;juntado;;178032982997.3380.10360394385491208025@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5954834;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020240204686;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020240204686&juntadaAr=true&codDocVinculado=5954834;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5954834;2ªVSJ - 082/2026- SEC Referente ao Proc Nº: 0000155-60.2024.8.05.0191
0003383-77.2023.8.05.0191;90/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;13:05:39;juntado;;178032993344.3380.459989682314204419@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5964982;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020234573351;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020234573351&juntadaAr=true&codDocVinculado=5964982;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5964982;2ªVSJ - 90/2026- SEC Referente ao Proc Nº: 0003383-77.2023.8.05.0191
0002030-31.2025.8.05.0191;098/2026- SEC;dt.pauloafonso@pcivil.ba.gov.br;Enviado;01/06/2026;13:06:53;;;178033000781.3380.17377390853332105893@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5965125;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020252314340;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020252314340&juntadaAr=true&codDocVinculado=5965125;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5965125;2ªVSJ - 098/2026- SEC Referente ao Proc Nº: 0002030-31.2025.8.05.0191
0002467-72.2025.8.05.0191;099/2026- SEC;dt.pauloafonso@pcivil.ba.gov.br;Enviado;01/06/2026;13:07:25;juntado;;178033004035.3380.11824230192394677990@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5966969;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020252836243;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020252836243&juntadaAr=true&codDocVinculado=5966969;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5966969;2ªVSJ - 099/2026- SEC Referente ao Proc Nº: 0002467-72.2025.8.05.0191
0000438-15.2026.8.05.0191;081/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;01/06/2026;13:08:48;juntado;;178033012294.3380.15548721562998155258@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5967014;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020260680500;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020260680500&juntadaAr=true&codDocVinculado=5967014;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5967014;2ªVSJ - 081/2026- SEC Referente ao Proc Nº: 0000438-15.2026.8.05.0191
0000884-52.2025.8.05.0191;083/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;13:10:16;juntado;;178033021128.3380.9756814894639315954@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5974406;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020250997385;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020250997385&juntadaAr=true&codDocVinculado=5974406;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5974406;2ªVSJ - 083/2026- SEC Referente ao Proc Nº: 0000884-52.2025.8.05.0191
0001637-09.2025.8.05.0191;087/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;13:11:29;;;178033028296.3380.2173284714065225396@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5976245;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020251788593;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020251788593&juntadaAr=true&codDocVinculado=5976245;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5976245;2ªVSJ - 087/2026- SEC Referente ao Proc Nº: 0001637-09.2025.8.05.0191
0003099-35.2024.8.05.0191;088/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;13:12:00;juntado;;178033031085.3380.301507912539541733@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5976246;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020243903870;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020243903870&juntadaAr=true&codDocVinculado=5976246;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5976246;2ªVSJ - 088/2026- SEC Referente ao Proc Nº: 0003099-35.2024.8.05.0191
0003050-57.2025.8.05.0191;092/2026;cicom.pafonso@ssp.ba.gov.br;Enviado;01/06/2026;13:13:09;juntado;;178033038381.3380.1330732464406194456@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5982368;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020253697743;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020253697743&juntadaAr=true&codDocVinculado=5982368;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5982368;2ªVSJ - 092/2026 Referente ao Proc Nº: 0003050-57.2025.8.05.0191
0000530-90.2026.8.05.0191;095/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;01/06/2026;13:14:16;juntado;;178033045113.3380.15674643923342466500@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5984293;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020260819371;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020260819371&juntadaAr=true&codDocVinculado=5984293;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5984293;2ªVSJ - 095/2026- SEC Referente ao Proc Nº: 0000530-90.2026.8.05.0191
0000693-70.2026.8.05.0191;096/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;01/06/2026;15:18:47;juntado;;178033792184.3380.15520622311561777306@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5984298;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020261097944;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020261097944&juntadaAr=true&codDocVinculado=5984298;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5984298;2ªVSJ - 096/2026- SEC Referente ao Proc Nº: 0000693-70.2026.8.05.0191
0000440-19.2025.8.05.0191;097/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;01/06/2026;15:20:05;juntado;;178033799904.3380.2789352055598872766@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5984313;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020250475044;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020250475044&juntadaAr=true&codDocVinculado=5984313;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5984313;2ªVSJ - 097/2026- SEC Referente ao Proc Nº: 0000440-19.2025.8.05.0191
0000838-29.2026.8.05.0191;103/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;15:21:14;juntado;;178033806899.3380.6740091616761389777@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5988514;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020261300413;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020261300413&juntadaAr=true&codDocVinculado=5988514;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5988514;2ªVSJ - 103/2026- SEC Referente ao Proc Nº: 0000838-29.2026.8.05.0191
0000411-32.2026.8.05.0191;;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;15:22:30;juntado;;178033814520.3380.5046608611816013480@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5991003;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020260651717;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020260651717&juntadaAr=true&codDocVinculado=5991003;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5991003;2ªVSJ -  Referente ao Proc Nº: 0000411-32.2026.8.05.0191
0001065-19.2026.8.05.0191;92/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;15:23:37;juntado;;178033821146.3380.5608669614098736245@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5992759;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020261652912;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020261652912&juntadaAr=true&codDocVinculado=5992759;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5992759;2ªVSJ - 92/2026- SEC Referente ao Proc Nº: 0001065-19.2026.8.05.0191
0004003-21.2025.8.05.0191;100/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;01/06/2026;15:24:57;juntado;;178033829172.3380.1121920182202289946@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5993224;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020255023245;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020255023245&juntadaAr=true&codDocVinculado=5993224;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5993224;2ªVSJ - 100/2026- SEC Referente ao Proc Nº: 0004003-21.2025.8.05.0191
0000155-60.2024.8.05.0191;;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;15:26:33;juntado;;178033838676.3380.16131548896503256728@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5999336;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020240204686;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020240204686&juntadaAr=true&codDocVinculado=5999336;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5999336;2ªVSJ -  Referente ao Proc Nº: 0000155-60.2024.8.05.0191
0000145-79.2025.8.05.0191;101/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;01/06/2026;15:27:51;juntado;;178033846612.3380.5097699190669720758@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5999705;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020250153674;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020250153674&juntadaAr=true&codDocVinculado=5999705;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5999705;2ªVSJ - 101/2026- SEC Referente ao Proc Nº: 0000145-79.2025.8.05.0191
0002585-19.2023.8.05.0191;102/2026- SEC;bpm20.cmd@pm.ba.gov.br;Enviado;01/06/2026;15:28:20;juntado;;178033849352.3380.1499477652604676712@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5999711;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020233469965;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020233469965&juntadaAr=true&codDocVinculado=5999711;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5999711;2ªVSJ - 102/2026- SEC Referente ao Proc Nº: 0002585-19.2023.8.05.0191
0000155-60.2024.8.05.0191;93/2026- SEC;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;15:29:38;juntado;;178033857206.3380.16911903322898862611@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=6003790;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020240204686;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020240204686&juntadaAr=true&codDocVinculado=6003790;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=6003790;2ªVSJ - 93/2026- SEC Referente ao Proc Nº: 0000155-60.2024.8.05.0191
0000438-15.2026.8.05.0191;094/2026;ciap.pauloafonso@seap.ba.gov.br;Enviado;01/06/2026;15:30:55;juntado;;178033864979.3380.8310628534668440069@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=6008357;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020260680500;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020260680500&juntadaAr=true&codDocVinculado=6008357;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=6008357;2ªVSJ - 094/2026 Referente ao Proc Nº: 0000438-15.2026.8.05.0191
0007535-47.2018.8.05.0191;128/2026- SEC;liviagracielle.silva@seap.ba.gov.br;Enviado;19/06/2026;14:08:35;juntado;;178188890916.16512.12036982007908269100@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5984454;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020183848747;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020183848747&juntadaAr=true&codDocVinculado=5984454;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5984454;2ªVSJ - 128/2026- SEC Referente ao Proc Nº: 0007535-47.2018.8.05.0191
0001863-14.2025.8.05.0191;111/2026- SEC;dt.pauloafonso@pcivil.ba.gov.br;Enviado;19/06/2026;14:10:02;juntado;;178188899357.16512.1457594524687907364@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5984549;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020252089439;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020252089439&juntadaAr=true&codDocVinculado=5984549;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5984549;2ªVSJ - 111/2026- SEC Referente ao Proc Nº: 0001863-14.2025.8.05.0191
0002776-93.2025.8.05.0191;105/2026- SEC;dt.pauloafonso@pcivil.ba.gov.br;Enviado;19/06/2026;14:11:17;juntado;;178188907200.16512.2688052041415111567@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5984629;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020253278692;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020253278692&juntadaAr=true&codDocVinculado=5984629;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5984629;2ªVSJ - 105/2026- SEC Referente ao Proc Nº: 0002776-93.2025.8.05.0191
0002803-76.2025.8.05.0191;106/2026- SEC;dt.pauloafonso@pcivil.ba.gov.br;Enviado;19/06/2026;14:12:35;juntado;;178188914838.16512.11468631581783009609@DESKTOP-JIRCJML;https://projudi.tjba.jus.br/projudi/acoes/VerCumprimento?codCumprimento=5984740;https://projudi.tjba.jus.br/projudi/listagens/DadosProcesso?numeroProcesso=41020253307996;https://projudi.tjba.jus.br/projudi/movimentacao/MovimentarProcesso?numeroProcesso=41020253307996&juntadaAr=true&codDocVinculado=5984740;https://projudi.tjba.jus.br/projudi/movimentacao/MarcaRecebimento?tipo=cumprimento&&codCumprimento=5984740;2ªVSJ - 106/2026- SEC Referente ao Proc Nº: 0002803-76.2025.8.05.0191
